"toolid","moduleid","recipeid","lotid","carrierid","slotno","waferid","recipestepno","sdate","edate"
tesla_sensor,model_3,tesla_recipe.130,Wiper Blades,CHAdeMo,10,"10",10,2024-01-04 14:43:58.830,2024-01-04 14:44:08.840
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",1,2024-01-04 14:46:51.150,2024-01-04 14:46:58.160
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",2,2024-01-04 14:46:58.160,2024-01-04 14:47:03.170
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",3,2024-01-04 14:47:03.170,2024-01-04 14:47:13.180
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",4,2024-01-04 14:47:13.180,2024-01-04 14:47:14.230
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",5,2024-01-04 14:47:14.230,2024-01-04 14:47:15.240
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",6,2024-01-04 14:47:15.240,2024-01-04 14:47:40.280
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",7,2024-01-04 14:47:40.280,2024-01-04 14:47:41.330
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",8,2024-01-04 14:47:41.330,2024-01-04 14:47:46.360
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",9,2024-01-04 14:47:46.360,2024-01-04 14:47:49.530
tesla_sensor,model_3,tesla_recipe.131,Wiper Blades,CHAdeMo,11,"11",10,2024-01-04 14:47:49.530,2024-01-04 14:47:59.540
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",1,2024-01-04 14:50:32.250,2024-01-04 14:50:39.270
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",2,2024-01-04 14:50:39.270,2024-01-04 14:50:44.280
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",3,2024-01-04 14:50:44.280,2024-01-04 14:50:54.290
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",4,2024-01-04 14:50:54.290,2024-01-04 14:50:55.340
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",5,2024-01-04 14:50:55.340,2024-01-04 14:50:56.350
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",6,2024-01-04 14:50:56.350,2024-01-04 14:51:46.390
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",7,2024-01-04 14:51:46.390,2024-01-04 14:51:47.430
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",8,2024-01-04 14:51:47.430,2024-01-04 14:51:52.460
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",9,2024-01-04 14:51:52.460,2024-01-04 14:51:55.630
tesla_sensor,model_3,tesla_recipe.132,Wiper Blades,CHAdeMo,12,"12",10,2024-01-04 14:51:55.630,2024-01-04 14:52:05.640
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",1,2024-01-04 14:54:45.390,2024-01-04 14:54:52.400
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",2,2024-01-04 14:54:52.400,2024-01-04 14:54:57.410
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",3,2024-01-04 14:54:57.410,2024-01-04 14:55:07.420
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",4,2024-01-04 14:55:07.420,2024-01-04 14:55:08.470
tesla_sensor,model_3,tesla_recipe.133,Wiper Blades,CHAdeMo,13,"13",5,2024-01-04 14:55:08.470,2024-01-04 14:55:09.480
