"time","toolid","moduleid","type","event","action","caller","recipeid","recipestepno","acttime","lotid","carrierid","slotno","waferid","message","uuid"
2024-01-04 16:01:15.510,tesla_sensor,model_3,D,MFC1 MVC,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",a52d84d6-4df7-4e26-8f70-f0041aa61db6
2024-01-04 16:39:17.070,tesla_sensor,model_3,D,SHIELD,UP,SPT PROCESS,F2_EUNO-21,0,0,Air Filter,CHAdeMo,5,"05","","31a80750-5d91-415f-9516-c2dd7cfa9eaa"
2024-01-04 16:39:45.730,tesla_sensor,model_3,D,LIFTER,COMPLETE,UNLOAD,"",0,2800,"","",0,"","02.8Sec",d1ac570f-f264-4f28-b5f5-c83df23bd95c
2023-11-28 09:29:42.470,tesla_sensor,model_Y,D,MAINV,CLOSE,"","",0,0,"","",0,"","",d8993c8f-d433-4bd0-a63e-1a7813d255df
2024-01-04 14:02:11.230,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Battery,"",0,"","","6f3b633e-bcc3-4066-826f-a465a5ff79ab"
2024-01-04 15:55:14.270,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","3edd03ac-c8d1-4a6b-9e09-ab3773af28f6"
2024-01-04 12:28:08.600,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","0f815caa-bb46-4608-be30-e3578eff0927"
2024-01-04 16:01:15.490,tesla_sensor,model_3,S,PUMP DOWN,STEP START,"","",0,0,"","",0,"","","39090998-7042-4996-8444-75780b03cb49"
2024-01-04 15:47:02.680,tesla_sensor,model_3,D,MAINV,COMPLETE,STOP,"",0,1800,"","",0,"","01.8Sec","0470ec67-30c1-46a0-b0d5-cb9206d9995f"
2024-01-04 15:55:18.470,tesla_sensor,model_3,D,PRCS1 PWR,OFF,SETUP,"",0,0,"","",0,"","","53e9a2d6-80db-43b7-8a74-ee74bfd03117"
2024-01-04 15:08:06.260,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","13ea826e-7c99-4d50-b261-70547484b566"
2024-01-04 16:10:17.010,tesla_sensor,model_3,D,MAGNET RESET,ON,PROCESS,"",0,0,"","",0,"","","69c7fcde-b49c-45ee-b00f-a0a093ec5781"
2024-01-04 13:45:11.440,tesla_sensor,model_3,D,LIFTER,COMPLETE,"","",0,3300,"","",0,"","03.3Sec","5d0ee79f-dfa6-4164-9f96-87afbc9ea581"
2023-11-28 14:16:19.690,tesla_sensor,model_Y,D,MFC1 INLETV,CLOSE,"","",0,0,"","",0,"00","","6fde4e9a-07a8-4cce-87dd-1a1091e4f645"
2023-11-28 15:18:37.640,tesla_sensor,model_Y,D,IG FIL,OFF,"","",0,0,"","",0,"00","","28d04f79-0a60-4c7c-a140-ec9df0b5f83c"
2024-01-04 14:34:45.960,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","082184f2-d2dc-49ab-9a2d-4637356bbb1f"
2024-01-04 15:46:53.910,tesla_sensor,model_3,D,IG FIL,OFF,"","",0,0,"","",0,"","","2fdf2ace-a9d1-46c0-84dd-5a51010e9c6f"
2024-01-04 16:55:23.220,tesla_sensor,model_3,S,ROUGH,STEP START,"","",0,0,"","",0,"","","50d210d0-0c1b-4983-a3a0-77493611559f"
2024-01-04 12:29:22.870,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,END PRCS,"",0,0,"","",0,"","",fdd78b53-3982-43ce-99b4-cc8ef5ce33b6
2024-01-04 12:27:38.400,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","08485455-67b0-425d-9679-6fcdd796cf00"
2024-01-04 16:17:34.420,tesla_sensor,model_3,D,PUMP HTR,AUTO EXIT,END PRCS,"",0,0,"","",0,"","","244b9d8a-4c95-40b7-85a2-448438ba365e"
2024-01-04 16:55:23.280,tesla_sensor,model_3,S,END PRCS,STEP END,"","",0,0,"","",0,"","","4bc63c2a-ebc8-401a-a918-66a4362af006"
2023-11-28 09:44:10.620,tesla_sensor,model_Y,D,MAINV,COMPLETE,"","",0,2100,"","",0,"","02.1Sec","229abade-9600-4ad4-a0d7-9ead59bea29e"
2023-11-28 09:44:27.760,tesla_sensor,model_Y,D,GAS1 INLETV,OPEN,"","",0,0,"","",0,"","","99b42598-c4ef-48a8-8882-6b87636401e5"
2023-11-28 09:44:27.760,tesla_sensor,model_Y,D,GAS1 INLETV,COMPLETE,"","",0,0,"","",0,"","00.0Sec","4f0e950e-af66-41f9-9033-68430b24ed6b"
2024-01-04 14:39:52.610,tesla_sensor,model_3,D,PRCS1 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","975a8c06-8685-4823-b57e-22d19572c7b0"
2024-01-04 14:39:52.610,tesla_sensor,model_3,D,RF2 PS,AUTO EXIT,SPT PROCESS,"",0,0,Wiper Blades,"",0,"","","8a7a367a-4e53-4059-81dc-2c7f7335de63"
